id,domain,action,ios_current,mac_current,route,constraints,next_deliverable,priority,source
32,个人事务,短信/邮件撰写,Open sms/mailto已有,系统分享/URL或服务API,系统UI,用户点发送；Mail outbox排队不保证送达,用MessageUI预填/附件/取消回调，回执不夸大,P1,https://developer.apple.com/documentation/messageui
33,个人事务,读取短信/邮件收件箱/通话记录,无普通iOS通用数据库访问,只做用户授权服务集成或受控Mac路径,受限,MessageUI不是收件箱API；不能借MCP或iSH越权,列清不支持；按账户连接器另行授权和显示来源,边界,https://support.apple.com/guide/security/security-of-runtime-process-sec15bfe098e/web
34,个人事务,运行已登记Shortcut,已有list/run/open，只有launched回执,可用shortcuts CLI/原生接续,用户配置间接,不能枚举任意系统私有捷径；外部调用可能不回调,requestID+一次性回执、awaitingExternal、取消/超时,P1,https://developer.apple.com/documentation/appintents
35,个人事务,第三方App能力/Notes任务,以已配置URL/Shortcut/MCP集成为主,同上，另可公开Apple Events,声明集成,第三方必须暴露能力且用户授权；无通用Notes数据库权限,登记可验证连接器，参数预览和结果receipt,P2,https://developer.apple.com/documentation/appintents
36,文件与知识,系统分享/接收图片链接文件,ShareExtension已接；原始字节保存,拖放/上传已有，原生分享建议补,系统UI,来源不可信；写入原件成功后再增强,统一快速收集回执、来源与离线队列,P1,https://developer.apple.com/documentation/uniformtypeidentifiers
37,文件与知识,选文件/外部文件夹授权,Files/安全作用域/挂载已有,文件与终端强，但需作用域能力目录,系统UI+授权路径,书签失效、外部盘断开、跨启动读写权,失效重授权不丢引用，逐任务目录范围,P1,https://developer.apple.com/documentation/fileprovider
38,文件与知识,Files App File Provider,已有Target,可选Finder扩展不做默认依赖,系统扩展,同步/占位/冲突/离线，用户文件是原始资料,回归当前provider，不另复制一套同步库,P1,https://developer.apple.com/documentation/fileprovider
39,文件与知识,Quick Look/文件格式预览,已有artifact/WebApp/文件预览基础,代码/HTML/文件视图已有,原生/受控预览,MIME+字节+来源校验；HTML不得获得工具权限,统一Preview/Open/Export/Save receipt,P1,https://developer.apple.com/documentation/quicklook
40,文件与知识,PDF提取/高亮/标注,藏宝阁正文高亮已接,PDFKit JXA提取+高亮已有,原生本地,页码/文本偏移、扫描PDF无文字需OCR；原PDF不丢,阅读模式优先、原页高亮映射和导出,P1,https://developer.apple.com/documentation/pdfkit
41,文件与知识,打印与系统导出,未作为统一Agent动作建账,系统打印/分享候选,系统UI,用户选择打印机/份数；不能把打开对话框当打印完毕,生成可打印artifact并系统呈现，记录presented,P2,https://developer.apple.com/documentation/uikit/uiprintinteractioncontroller
42,文件与知识,拖放/多窗口/iPad键盘,已有布局与部分拖放,桌面拖文件已有,UI与作用域,跨App拖入内容不可信；焦点与未保存编辑保留,iPad窄宽双态、键盘、文件拖入统一验收,P1,https://developer.apple.com/documentation/uniformtypeidentifiers
43,文件与知识,iCloud/收藏增量同步,CloudKit/SQLite/tombstone/游标已有,手机镜像+本地收藏已有,授权同步,正文/附件按需，作用域和冲突不混；离线不冒充实时,补崩溃/断线/大库游标与可解释冲突,P1,https://developer.apple.com/documentation/cloudkit
44,文件与知识,HTML/图片/报告artifact,本地生成/预览/分享基础已有,已有文件、浏览器与artifact管线,本机或Mac协作,生成≠渲染≠导出成功；HTML脚本和外联受控,类型注册、真实预览、失败原因、保存回执和跨端交接,P1,https://developer.apple.com/documentation/uniformtypeidentifiers
45,文件与知识,备份/恢复大库,已有备份；缺上游流式writer/journal,需统一备份与升级恢复演练,本地持久任务,空间预算、格式版本、部分恢复、凭据单独选择,吸收OpenMinis流式ZIP与恢复journal，验证失败可回退,P1,https://developer.apple.com/documentation/backgroundtasks/performing-long-running-tasks-on-ios-and-ipados
46,空间与环境,一次定位/逆地理,Location已有,按Mac定位授权可补,系统授权,精确/模糊、过期、无GPS、网络失败,显示精度/时间/来源；避免无限定位保活,P1,https://developer.apple.com/documentation/corelocation
47,空间与环境,地理围栏/位置触发,已有自动化基础，专项端到端未验,Mac不承诺手机等效触发,专项后台,系统配额/授权/调度；不是任意时刻必达,只做用户明确规则，延迟/未触发可诊断,P2,https://developer.apple.com/documentation/corelocation
48,空间与环境,地图/路线/ETA/打开导航,Maps已有,可开原生地图或Web地图,系统/网络,路线模式与出发地确认，查询与导航交接分开,可交互路线卡、更新时刻、离线错误准确,P1,https://developer.apple.com/documentation/mapkit
49,空间与环境,天气/预警,WeatherKit已有,可共享后端或独立授权,服务授权,资格/网络/位置；显示来源和时效,场景卡只在有价值时出现，不常驻轮询,P1,https://developer.apple.com/documentation/weatherkit
50,空间与环境,运动/步数/活动识别,Motion已有近7日,Mac仅支持自身硬件可用子集,系统授权,不能从步数接口承诺所有传感器全天候采样,能力按设备声明，时间范围和能耗预算,P2,https://developer.apple.com/documentation/coremotion
51,健康与家庭,HealthKit读取/写入,已有广泛类型工具,普通Mac部署不能承诺同等HealthKit,按类型授权,空结果不代表拒绝；写记录来源/幂等；健康信息不默认上云,只读摘要优先，写入预览与撤销范围明确,P1,https://developer.apple.com/documentation/healthkit
52,健康与家庭,HomeKit设备/场景,HomeKit已有set/scenes/trigger,Mac支持取决于宿主技术/授权,家庭授权,只能操作已配对支持设备；门锁等逐动作确认,场景卡、目标校验、读回状态，断网明确未完成,P1,https://developer.apple.com/documentation/homekit
53,硬件与近场,BLE GATT扫描/读写/通知,Bluetooth已有,可加CoreBluetooth适配,系统授权,不是经典蓝牙万能接口；不切系统总开关,设备会话、订阅取消、断连恢复和用户设备范围,P2,https://developer.apple.com/documentation/corebluetooth
54,硬件与近场,NFC标签/NDEF/APDU,NFC已有较深实现,常规Mac无同等内置NFC,前台+硬件资格,设备/标签/entitlement限制；不承诺支付密钥或门禁复制,危险写入和敏感读取单独授权；timeout取消会话,P2,https://developer.apple.com/documentation/corenfc
55,硬件与近场,AccessorySetupKit配对,未统一接入,不同macOS路径另核,系统配对UI,只对本App支持外设授权，不是扫描所有设备权限,有实际外设需求时替换分散配对流程,P2,https://developer.apple.com/documentation/accessorysetupkit
56,硬件与近场,UWB附近距离,未发现通用动作,硬件和平台按文档另核,硬件+会话,双方支持协议/硬件，非持续追踪任何人设备,设备能力探针+专项PoC，不作为下版必达,P2,https://developer.apple.com/documentation/nearbyinteraction
57,硬件与近场,Wi-Fi Aware直连,未接,硬件/平台分别协商,专项网络API,iOS26起、支持硬件；不是Wi-Fi总开关,可作局域设备发现实验，不替换现有relay主链,P2,https://developer.apple.com/documentation/wifiaware
58,硬件与近场,AR/LiDAR/房间扫描,未作为Agent能力集成,Mac主要消费产物,硬件+前台,依LiDAR/摄像头/空间权限；需要明确用途,扫描→结构化artifact专项插件，不默认常驻,P2,https://developer.apple.com/documentation/roomplan
59,端侧智能,本地翻译,LocalBrain可做文本译写；无独立Translation服务,可用系统框架的窄helper,模型/语言条件,系统语言包与模型资格；不能保证所有语言,Translation系统包优先，明确本地/云端及下载状态,P2,https://developer.apple.com/documentation/translation
60,端侧智能,Foundation Models摘要/改写/任务草稿,LocalBrain已经接入,可加现有Provider适配,模型可用性,设备资格/开关/模型准备/语言，失败不假成功,补原因与超时/取消，扩大已有能力而非重复接入,P1,https://developer.apple.com/documentation/foundationmodels/systemlanguagemodel/availability-swift.property
61,端侧智能,独立MLX本地小模型,未正式引入,候选Apple Silicon辅助模型,可选下载,模型许可/内存/热预算；不承诺云端推理等价,限摘要分类草稿，基准达标才启用,P2,https://developer.apple.com/documentation/foundationmodels/systemlanguagemodel/availability-swift.property
62,系统入口,Siri/AppIntents/任务实体,已有多个Intents与QuickTask,Mac需要与实际任务路由统一,系统授权入口,暴露本App能力，不是调用任意其他App,共享terminalOutcome，冷启动/锁屏/同名歧义测试,P1,https://developer.apple.com/documentation/appintents/appintent/supportedmodes
63,系统入口,Spotlight会话与收藏,SessionSpotlightIndexer和CollectionSearchIndex已有,可选Mac原生索引桥,可搜索实体,尊重隐私开关，不索引敏感正文/query参数,增量索引与删除、点击准确定位，保留隐私边界,P1,https://developer.apple.com/documentation/corespotlight
64,系统入口,控制中心/锁屏/Action Button,新对话/语音/相机三个Control已有,Mac不照搬手机ControlWidget,系统入口,入口不等于后台无限执行；硬件动作与前台模式协商,加常用动作配置，复用同一服务，优先torch/收集,P1,https://developer.apple.com/documentation/widgetkit/appintentcontrolconfiguration
65,系统入口,Widget任务与产物,已有多种Widget,Mac候选原生Widget非必需,低频系统快照,刷新时机由系统控制；不能伪装秒级实时,同一run结果、来源时间戳、隐私和点击恢复,P1,https://developer.apple.com/documentation/widgetkit
66,系统入口,Live Activities/灵动岛,已有ActivityKit状态,Mac菜单栏/任务状态用原布局,系统状态面,进度必须真实；长任务可取消；终态和推送一致,失败/等待用户/暂停明确，多端审批只一次,P1,https://developer.apple.com/documentation/activitykit
67,系统入口,Focus Filter,未发现SetFocusFilterIntent,可按平台支持另接,本App筛选,过滤本App内容/上下文，不能直接控制系统专注模式,工作/私人项目与通知筛选，默认不开启自动切模型,P2,https://developer.apple.com/documentation/appintents/setfocusfilterintent
68,系统入口,本地通知/通知操作,Notification与任务通知已有,桌面通知已有,用户授权,只能管理本App通知；发送≠用户已读,统一通知内容/隐私/去重/点击/过期审批,P1,https://developer.apple.com/documentation/usernotifications
69,系统生命周期,26持续后台处理,BGContinuedProcessing已有,Mac任务服务另有生命周期,系统可撤销执行,前台用户启动；可被资源压力/用户取消终止,有效grant判断、检查点、过期暂停/交接Mac,P0,https://developer.apple.com/documentation/backgroundtasks/performing-long-running-tasks-on-ios-and-ipados
70,系统生命周期,大文件后台上传下载,按需下载与Range已有；独立后台URLSession深化,Mac继续后台任务服务,系统传输,适合文件传输，不等于LLM websocket长连接永久存活,可恢复background session、回调与临时文件一致性,P1,https://developer.apple.com/documentation/foundation/urlsessionconfiguration/background(withidentifier:)
71,系统生命周期,iOS27长AppIntent任务,当前26SDK不能编译验收,macOS文档27新增契约另核,版本隔离,LongRunningIntent introduced27，持续报告真实进度与取消,影子SDK构建，不取代26已实现的Continued Processing,27轨,https://developer.apple.com/documentation/appintents/longrunningintent
72,身份与受限能力,FaceID/TouchID/App锁,LocalAuthentication与会话锁已有,可用Mac本机验证,用户认证,生物识别失败/锁定/后台；不是额外系统访问权,高风险动作可按策略再验证；不把解锁等同全权,P1,https://developer.apple.com/documentation/localauthentication
73,身份与受限能力,Passkeys/登录与Keychain,项目认证已有，passkey专项未建账,safeStorage/本机token已有,本App身份,不能读取其他App密码/验证码；凭据不进模型,逐服务凭据域与授权状态，连接器可撤销,P2,https://developer.apple.com/documentation/authenticationservices
74,身份与受限能力,Wallet/支付/票证,未作为通用能力,需具体商户/票证资格,资格+用户交互,PassKit权限与发行资格；不是任意读取/支付控制,列目录与明确支持范围，专项需求才实现,边界,https://developer.apple.com/documentation/passkit
75,身份与受限能力,Screen Time/应用限制,未接FamilyControls,macOS路径不同,专项资格,FamilyControls/ManagedSettings授权用途和资格，不是万能App管理,先资格/设备PoC，默认不承诺控制任意App,P2,https://developer.apple.com/documentation/familycontrols
76,身份与受限能力,VPN/网络扩展/过滤,未作为通用系统动作,Mac网络扩展另行资格与安装,专项资格,NetworkExtension需对应entitlement/用户同意,作为可选专项；不让Agent直接改当前网络配置,边界,https://developer.apple.com/documentation/networkextension
77,身份与受限能力,商店安装/卸载/系统更新,普通App无任意静默管理权,Mac可经用户授权安装流程,受限/明确安装任务,分发/管理资格另核；iSH不是iOS宿主root,准确交接用户或受管设备方案；本版不造越权承诺,边界,https://support.apple.com/guide/security/security-of-runtime-process-sec15bfe098e/web
78,身份与受限能力,其他App私有文件/通知/安全芯片,无公开通用权限,Mac也受TCC/文件权限/硬件限制,不支持,沙箱与系统保护；屏幕可见不等于能读取私有数据库,明确unsupported与公开集成替代，不反复试私有接口,边界,https://support.apple.com/guide/security/security-of-runtime-process-sec15bfe098e/web
79,Mac原生协作,真实窗口观察/操作/回读,手机作为已授权控制面,当前exact-window只有内存状态,Mac公开AX+ScreenCaptureKit,目标窗口稳定身份、TCC、前台/背景差异、截图时效,窄Swift helper，真实observe/act/receipt，未实现不报success,P0/P1,https://developer.apple.com/documentation/applicationservices/axuielement
80,Mac原生协作,本机服务/登录项/更新后恢复,消费Mac可用性，不控制其系统策略,已有Electron服务和更新链,Mac原生服务,签名身份/登录项授权/升级回退/TCC连续性,SMAppService候选与现有helper二选一，签名包验收,P1,https://developer.apple.com/documentation/servicemanagement/smappservice
