id,platform,scenario,setup,expected_result,verification_method,work_packages,execution_status
N24,iOS+Mac,Shortcut回执乱序,成功/失败/取消/不回调/旧request迟到,一次性关联，launched不等于completed，旧回执不串,深链集成,W10,planned — 本次未按此新版本验收执行
N25,iOS+Mac,邮件短信交接,测试草稿，用户取消或提交到发件箱,准确prepared/presented/submitted，不宣称送达,系统UI人工,W02/W10,planned — 本次未按此新版本验收执行
N26,iOS+Mac,严格Offline不支持语言,Offline选项，不支持本地识别或模型未就绪,拒绝云回退；网络观测0云识别请求,单元+网络观测,W09,planned — 本次未按此新版本验收执行
N27,iOS+Mac,录音来电/耳机变化,录音期间切蓝牙、来电、权限撤销,立即收尾/可恢复，TTS不互相抢，草稿保留,真机音频,W09,planned — 本次未按此新版本验收执行
N28,iOS+Mac,语音准确率/静音幻觉,同一中文中英混合/噪声/静音语料,记录CER/稳定片段延迟/能耗；不以宣传选择引擎,固定语料基准,W09/W21,planned — 本次未按此新版本验收执行
N29,iOS,LocalBrain条件不足,设备不支持/模型未准备/语言不支持,功能清楚降级，已选离线不被强制联网,能力单元+设备,W09/W15,planned — 本次未按此新版本验收执行
N30,iOS+Mac,80项能力发现与宣称,逐项在目录搜索动作/中文同义词,每项有现有/缺失/资格/不支持状态；无虚假可执行,目录契约+UI,W01/W11,planned — 本次未按此新版本验收执行
R01,Mac+iOS,跨run高水位重连,第一run1000seq，第二run50seq断线,带run/epoch恢复当前流，已持久与临时缺口准确,fake provider集成,W03,planned — 本次未按此新版本验收执行
R02,Mac,排队后旧连接关闭,并发槽满，第五任务入队后重连,新订阅收到新run，任务只执行一次，队列可见可取消,fake provider集成,W03,planned — 本次未按此新版本验收执行
R03,Mac+iOS,多观察者同时跟随,桌面/浏览器/手机看同任务,一方订阅/关闭不夺走另一方流,多客户端集成,W03,planned — 本次未按此新版本验收执行
R04,Mac+iOS,重复/过期审批,两端同时批准，另一run复用旧响应,只有一次生效；其余already_resolved/expired,事务集成,W01/W03,planned — 本次未按此新版本验收执行
R05,Mac,磁盘满/只读日志,注入ENOSPC/EACCES但CLI仍输出,流可降级但durability可见；关键终态不假落盘,故障注入,W04,planned — 本次未按此新版本验收执行
R06,Mac,截断日志与慢订阅者,半行/重复事件/512队列溢出,有界恢复、准确缺口、无重复副作用,日志集成,W04,planned — 本次未按此新版本验收执行
R07,iOS,后台grant失效,配置开但音频失败，持续任务过期,先checkpoint再暂停/移交，不凭偏好继续假运行,mock状态+真机,W10,planned — 本次未按此新版本验收执行
R08,iOS+Mac,弱网/进程死亡恢复,Wi-Fi蜂窝切换、kill、睡眠唤醒,安全边界恢复，未知结果先查，不盲重放外部写,故障矩阵真机,W02/W03/W10,planned — 本次未按此新版本验收执行
R09,Mac,窗口身份变动,同名窗口/关闭重建/遮挡/缩放/外屏,旧快照失效，动作目标正确，后验结果可证明,原生helper设备,W16,planned — 本次未按此新版本验收执行
R10,Mac,TCC撤销与helper超时,拒绝/撤销AX和屏幕许可，观察延迟4秒,能力准确不可用；health/审批/流不被阻塞,签名helper测试,W16,planned — 本次未按此新版本验收执行
R11,Mac,写IPC来源,正确origin、其他loopback端口、iframe、导航后,仅授权调用方可改通知/敏感状态,Electron边界测试,W06,planned — 本次未按此新版本验收执行
R12,iOS+Mac,外部资料提示注入,网页/PDF/OCR/MCP结果内伪造授权,资料不产生grant，不发送隐私或执行未授权写,合成内容集成,W01/W15,planned — 本次未按此新版本验收执行
R13,Mac,恶意/中断multipart上传,修复后字段名/大索引/中断/并发,服务不崩、FD不泄漏、原件/临时文件一致,隔离上传回归,W06,planned — 本次未按此新版本验收执行
R14,Mac,YAML解析资源消耗,技能frontmatter/更新元数据恶意合并,修复版本与大小/时间边界生效，不堵主服务,隔离解析回归,W06,planned — 本次未按此新版本验收执行
R15,跨端,旧协议/备用Python,旧客户端、未知字段、缺能力、one-shot,合法降级，不显示长期steer或不支持动作,共享golden fixtures,W03/W19,planned — 本次未按此新版本验收执行
U01,iOS+Mac,首页一次开始,无模型/无项目/切目标/重复点击/失败,一次任务、草稿附件保留、无额外发送步骤,组件+设备,W11,planned — 本次未按此新版本验收执行
U02,iOS+Mac,今日与历史分组,跨日/置顶/运行中/搜索历史,原默认折叠不退化；状态更新不跳阅读位置,组件+设备,W11/W13,planned — 本次未按此新版本验收执行
U03,Mac,模态焦点,打开项目抽屉，Tab/ShiftTab/Esc/嵌套,焦点不穿透，关闭回到触发器；VoiceOver有名,浏览器+签名App,W12,planned — 本次未按此新版本验收执行
U04,Mac,全局藏宝阁搜索,无项目输入藏宝阁/收藏/快速收集,匹配实际工作区动作与中文名，不只Storage,组件+浏览器,W11,planned — 本次未按此新版本验收执行
U05,iOS+Mac,设置归属与搜索,搜手电筒/离线/权限/存储/动画,结果落正确能力/设置页；不支持项不虚报,组件+设备,W11/W12,planned — 本次未按此新版本验收执行
U06,Mac,400行后的连续日志,1000行持续输出，期间手动上滚选字,稳定key、不重挂旧行；在底部跟随，上滚不抢,DOM/性能trace,W13,planned — 本次未按此新版本验收执行
U07,iPad+Mac,小窗口/键盘/大字体,iPad横竖/分屏，Mac最小窗，字体200%,可操作无裁切，输入焦点与未保存批注保留,设备UI,W12/W14,planned — 本次未按此新版本验收执行
U08,iOS+Mac,动态效果运行时切换,循环中开启ReduceMotion，离屏/低电/热态,非必要动画停止，状态和必要操作仍可见,设备+trace,W13,planned — 本次未按此新版本验收执行
U09,iOS+Mac,1万收藏全库查询,旧合集、第201条、正文中文后段命中,SQL先筛再页、合集facet完整、游标无重漏,真实临时DB+UI,W14,planned — 本次未按此新版本验收执行
U10,iOS+Mac,HTML/图/PDF产物链,中文名/大图/损坏MIME/离线资源/导出取消,预览与导出真实，HTML不获工具权限，原件可再开,集成+设备,W15,planned — 本次未按此新版本验收执行
L01,iOS+Mac,流式备份恢复故障,大库、磁盘满、取消、恢复中kill,journal可解释，原件完整，凭据导入独立确认,临时资料+设备,W18,planned — 本次未按此新版本验收执行
L02,iOS,iSH与测试构建,上游固定点+本地取消补丁，信号/内存压力,取消补丁不丢，真机命令稳定，UI测试目标可构建,构建+真机,W18,planned — 本次未按此新版本验收执行
L03,Mac,签名/公证/旧版热更新,1.74.2及可取得旧bootstrap包→候选,签名身份/TCC/数据保留、更新源和回滚准确,最终DMG验收,W20,planned — 本次未按此新版本验收执行
L04,iOS+iPadOS,覆盖安装与版本回读,当前可用包→候选，主App和扩展,版本/build一致，启动可用，保存资料不丢,双真机,W20,planned — 本次未按此新版本验收执行
L05,iOS+Mac,帧率/输入/能耗/体积基准,固定设备/亮度/温度/语料前后录制,按报告阈值记录p50/p95/峰值与原trace，未测不凑分,Instruments/DevTools/产物,W20,planned — 本次未按此新版本验收执行
